,Country,Total imports,Total exports,Net imports,2014_net_import_counts,2014_import_counts,2014_export_counts
0,BD,3.0,0.0,3.0,3.0,3.0,0.0
1,BE,8.0,23.0,-15.0,-15.0,8.0,23.0
2,BA,1.0,0.0,1.0,1.0,1.0,0.0
3,BM,1.0,1.0,0.0,0.0,1.0,1.0
4,JP,45.0,23.0,22.0,22.0,45.0,23.0
5,BI,0.0,1.0,-1.0,-1.0,0.0,1.0
6,BT,2.0,0.0,2.0,2.0,2.0,0.0
7,JO,0.0,1.0,-1.0,-1.0,0.0,1.0
8,BR,5.0,4.0,1.0,1.0,5.0,4.0
9,BS,0.0,2.0,-2.0,-2.0,0.0,2.0
10,JE,2.0,3.0,-1.0,-1.0,2.0,3.0
11,BY,0.0,1.0,-1.0,-1.0,0.0,1.0
12,RU,18.0,8.0,10.0,10.0,18.0,8.0
13,RO,1.0,0.0,1.0,1.0,1.0,0.0
14,GU,1.0,0.0,1.0,1.0,1.0,0.0
15,GT,2.0,0.0,2.0,2.0,2.0,0.0
16,GR,1.0,2.0,-1.0,-1.0,1.0,2.0
17,BH,2.0,0.0,2.0,2.0,2.0,0.0
18,GG,2.0,4.0,-2.0,-2.0,2.0,4.0
19,GB,69.0,116.0,-47.0,-47.0,69.0,116.0
20,GL,1.0,0.0,1.0,1.0,1.0,0.0
21,GI,1.0,0.0,1.0,1.0,1.0,0.0
22,GH,2.0,1.0,1.0,1.0,2.0,1.0
23,BW,0.0,2.0,-2.0,-2.0,0.0,2.0
24,HU,1.0,1.0,0.0,0.0,1.0,1.0
25,HK,56.0,9.0,47.0,47.0,56.0,9.0
26,PT,0.0,11.0,-11.0,-11.0,0.0,11.0
27,PA,0.0,1.0,-1.0,-1.0,0.0,1.0
28,PK,1.0,0.0,1.0,1.0,1.0,0.0
29,PH,2.0,0.0,2.0,2.0,2.0,0.0
30,PL,6.0,5.0,1.0,1.0,6.0,5.0
31,ZM,0.0,1.0,-1.0,-1.0,0.0,1.0
32,EG,0.0,1.0,-1.0,-1.0,0.0,1.0
33,ZA,5.0,40.0,-35.0,-35.0,5.0,40.0
34,ET,1.0,2.0,-1.0,-1.0,1.0,2.0
35,ZW,0.0,11.0,-11.0,-11.0,0.0,11.0
36,ES,4.0,15.0,-11.0,-11.0,4.0,15.0
37,MG,1.0,0.0,1.0,1.0,1.0,0.0
38,UY,1.0,6.0,-5.0,-5.0,1.0,6.0
39,MC,3.0,2.0,1.0,1.0,3.0,2.0
40,MO,7.0,1.0,6.0,6.0,7.0,1.0
41,MN,0.0,1.0,-1.0,-1.0,0.0,1.0
42,US,175.0,97.0,78.0,78.0,175.0,97.0
43,MT,1.0,0.0,1.0,1.0,1.0,0.0
44,MW,0.0,1.0,-1.0,-1.0,0.0,1.0
45,MR,1.0,0.0,1.0,1.0,1.0,0.0
46,UG,0.0,1.0,-1.0,-1.0,0.0,1.0
47,UA,2.0,2.0,0.0,0.0,2.0,2.0
48,MX,6.0,2.0,4.0,4.0,6.0,2.0
49,IL,8.0,7.0,1.0,1.0,8.0,7.0
50,FR,44.0,119.0,-75.0,-75.0,44.0,119.0
51,FI,0.0,1.0,-1.0,-1.0,0.0,1.0
52,NL,11.0,18.0,-7.0,-7.0,11.0,18.0
53,NO,7.0,7.0,0.0,0.0,7.0,7.0
54,NA,2.0,1.0,1.0,1.0,2.0,1.0
55,NG,1.0,1.0,0.0,0.0,1.0,1.0
56,NZ,20.0,20.0,0.0,0.0,20.0,20.0
57,CH,57.0,51.0,6.0,6.0,57.0,51.0
58,CO,2.0,0.0,2.0,2.0,2.0,0.0
59,CN,65.0,17.0,48.0,48.0,65.0,17.0
60,CL,5.0,0.0,5.0,5.0,5.0,0.0
61,CA,51.0,54.0,-3.0,-3.0,51.0,54.0
62,CZ,6.0,2.0,4.0,4.0,6.0,2.0
63,XX,12.0,6.0,6.0,6.0,12.0,6.0
64,CR,0.0,1.0,-1.0,-1.0,0.0,1.0
65,XV,0.0,1.0,-1.0,-1.0,0.0,1.0
66,CU,3.0,12.0,-9.0,-9.0,3.0,12.0
67,KE,0.0,3.0,-3.0,-3.0,0.0,3.0
68,KR,15.0,7.0,8.0,8.0,15.0,7.0
69,KW,2.0,0.0,2.0,2.0,2.0,0.0
70,SN,0.0,2.0,-2.0,-2.0,0.0,2.0
71,KZ,0.0,2.0,-2.0,-2.0,0.0,2.0
72,SA,1.0,0.0,1.0,1.0,1.0,0.0
73,SG,34.0,5.0,29.0,29.0,34.0,5.0
74,SE,0.0,1.0,-1.0,-1.0,0.0,1.0
75,SD,0.0,1.0,-1.0,-1.0,0.0,1.0
76,DO,1.0,0.0,1.0,1.0,1.0,0.0
77,DK,2.0,9.0,-7.0,-7.0,2.0,9.0
78,DE,25.0,44.0,-19.0,-19.0,25.0,44.0
79,LB,0.0,2.0,-2.0,-2.0,0.0,2.0
80,TW,12.0,3.0,9.0,9.0,12.0,3.0
81,TR,4.0,2.0,2.0,2.0,4.0,2.0
82,LI,1.0,0.0,1.0,1.0,1.0,0.0
83,TN,0.0,2.0,-2.0,-2.0,0.0,2.0
84,LU,0.0,1.0,-1.0,-1.0,0.0,1.0
85,TH,6.0,4.0,2.0,2.0,6.0,4.0
86,TG,0.0,2.0,-2.0,-2.0,0.0,2.0
87,VA,1.0,1.0,0.0,0.0,1.0,1.0
88,AE,8.0,14.0,-6.0,-6.0,8.0,14.0
89,IR,0.0,1.0,-1.0,-1.0,0.0,1.0
90,IT,9.0,35.0,-26.0,-26.0,9.0,35.0
91,VN,4.0,4.0,0.0,0.0,4.0,4.0
92,AR,1.0,1.0,0.0,0.0,1.0,1.0
93,AU,29.0,9.0,20.0,20.0,29.0,9.0
94,AT,5.0,19.0,-14.0,-14.0,5.0,19.0
95,IN,0.0,1.0,-1.0,-1.0,0.0,1.0
96,IE,1.0,1.0,0.0,0.0,1.0,1.0
97,ID,0.0,1.0,-1.0,-1.0,0.0,1.0
98,MY,2.0,1.0,1.0,1.0,2.0,1.0
99,CY,0.0,1.0,-1.0,-1.0,0.0,1.0
100,QA,6.0,4.0,2.0,2.0,6.0,4.0
